Company,year,week_of_year,Composite Score
Ford,2024,19,0.0
Ford,2024,21,0.6418923735618591
Ford,2024,22,0.0
Ford,2024,28,0.5662911534309387
Ford,2024,30,-0.4257567723592122
Ford,2024,31,-0.3830992544398588
Marks & Spencer,2024,21,0.47111326456069946
Marks & Spencer,2024,22,-0.4100159321512495
Marks & Spencer,2024,23,0.017212491035461425
Marks & Spencer,2024,24,0.34299189394170587
Marks & Spencer,2024,25,0.15590070275699391
Marks & Spencer,2024,26,0.11258267534190211
Marks & Spencer,2024,27,-0.06667735702113102
Marks & Spencer,2024,28,0.33760735567878275
Marks & Spencer,2024,29,0.08548385898272197
Marks & Spencer,2024,30,0.0
Ocado,2024,29,0.077461838722229
Ocado,2024,30,0.3729016184806824
Ocado,2024,31,0.0
Polestar,2024,26,0.0
Polestar,2024,27,0.0
Stellantis,2024,23,0.8509339094161987
Stellantis,2024,26,-0.9435524940490723
Stellantis,2024,30,0.0
Tesco,2024,22,-0.26432766517003375
Tesco,2024,23,0.0
Tesco,2024,25,0.8473416566848755
Tesco,2024,26,-0.3358784392476082
Tesco,2024,27,0.062144240554498166
Tesco,2024,28,0.0
Tesco,2024,29,0.0
Tesco,2024,30,0.00987951159477234
Tesco,2024,31,0.0
Tesla,2024,18,-0.8806542754173279
Tesla,2024,19,-0.8468018174171448
Tesla,2024,20,-0.1323348432779312
Tesla,2024,22,0.0
Tesla,2024,23,0.0
Tesla,2024,24,0.0
Tesla,2024,26,-0.23912613093852997
Tesla,2024,27,0.4167312681674957
Tesla,2024,28,0.0
Tesla,2024,29,0.0
Tesla,2024,30,-0.1872240168149354
Tesla,2024,31,-0.19747023582458495
Toyota,2024,18,0.0
Toyota,2024,19,0.0
Toyota,2024,22,0.0931515939095441
Toyota,2024,23,-0.5649894833564758
Toyota,2024,24,-0.21756023168563843
Toyota,2024,25,0.0
Toyota,2024,28,0.6076117753982544
Toyota,2024,30,-0.05654154769305525
Toyota,2024,31,-0.14331411614137538
