company,year,week_of_year,composite_score
Asda,2024,23,0.0
Asda,2024,28,-0.98
Asda,2024,30,0.48150000000000004
Ford,2024,18,-0.9981
Ford,2024,25,0.36821875000000004
Ford,2024,26,0.4418175
Ford,2024,27,0.49202
Ford,2024,28,0.42126428571428576
Ford,2024,29,0.4648234375
Ford,2024,30,0.22637451923076923
Ford,2024,31,0.5558
Marks & Spencer,2024,21,-0.9996
Marks & Spencer,2024,22,0.7431375
Marks & Spencer,2024,23,0.5622875
Marks & Spencer,2024,24,0.3314
Marks & Spencer,2024,25,0.9767166666666666
Marks & Spencer,2024,26,0.9785785714285715
Marks & Spencer,2024,27,0.9068236842105263
Marks & Spencer,2024,28,0.8395
Marks & Spencer,2024,29,0.7678916666666668
Marks & Spencer,2024,30,0.6932
Ocado,2024,19,0.9968
Ocado,2024,28,0.0
Ocado,2024,29,0.09480312499999999
Ocado,2024,30,-0.010724999999999985
Ocado,2024,31,0.4525958333333333
Polestar,2024,23,0.888425
Polestar,2024,26,0.49485
Sainsburys,2024,24,0.95845
Sainsburys,2024,27,0.59679
Sainsburys,2024,29,0.9955499999999999
Stellantis,2024,18,0.9993000000000001
Stellantis,2024,19,0.4784333333333333
Stellantis,2024,20,0.47833333333333333
Stellantis,2024,22,0.4742
Stellantis,2024,24,0.36147
Stellantis,2024,25,0.60075
Stellantis,2024,26,0.5454
Stellantis,2024,28,0.9593
Stellantis,2024,29,-0.1262625
Stellantis,2024,30,0.0
Stellantis,2024,31,0.0
Tesco,2024,18,0.99715
Tesco,2024,19,0.0
Tesco,2024,20,-0.3312
Tesco,2024,21,0.02184999999999998
Tesco,2024,22,0.3276833333333333
Tesco,2024,23,0.93435
Tesco,2024,24,0.050516666666666675
Tesco,2024,26,0.3300083333333333
Tesco,2024,27,0.8849999999999999
Tesco,2024,28,0.9686499999999999
Tesco,2024,29,0.9914666666666667
Tesco,2024,30,0.7905727272727273
Tesco,2024,31,0.9088
Tesla,2024,19,0.24330000000000002
Tesla,2024,20,0.07939166666666668
Tesla,2024,21,0.20483
Tesla,2024,22,0.40854999999999997
Tesla,2024,23,0.7330727272727273
Tesla,2024,24,0.39656285714285716
Tesla,2024,25,0.6527700000000001
Tesla,2024,26,0.5339862068965517
Tesla,2024,27,-0.198985
Tesla,2024,28,0.55135
Tesla,2024,29,0.6632722222222223
Tesla,2024,30,0.4748733333333333
Tesla,2024,31,0.16640454545454544
Toyota,2024,18,0.99705
Toyota,2024,20,0.33046666666666663
Toyota,2024,22,0.8130208333333333
Toyota,2024,23,0.51360625
Toyota,2024,24,0.7994899999999999
Toyota,2024,25,0.06791666666666667
Toyota,2024,26,0.9761
Toyota,2024,28,0.6238636363636364
Toyota,2024,29,0.34654910714285714
Toyota,2024,30,0.4112274285714286
Toyota,2024,31,0.40495875000000003
